model,accuracy,precision,recall,roc_auc
LogisticRegression,0.9199134199134199,0.9147058823529411,0.8735955056179775,0.9655867967637283
RandomForest,0.9231601731601732,0.9279279279279279,0.8679775280898876,0.9568661971830985
XGBoost,0.9215367965367965,0.92,0.8721910112359551,0.9640147768634278
LightGBM,0.920995670995671,0.9211309523809523,0.8693820224719101,0.9655849422376959
CatBoost,0.9247835497835498,0.9244444444444444,0.8764044943820225,0.9653419993274253
GradientBoosting,0.920995670995671,0.9198813056379822,0.8707865168539326,0.9648103685314132
StackingEnsemble,0.9188311688311688,0.913235294117647,0.8721910112359551,0.965820467043836
